filename,label,cx,cy,area
frame_000000.png,2,140,197,10913.500
frame_000001.png,2,135,197,10913.000
frame_000002.png,2,132,197,10926.500
frame_000003.png,2,130,197,10924.000
frame_000004.png,2,128,197,10921.500
frame_000005.png,2,126,197,10925.000
frame_000006.png,2,125,197,10946.000
frame_000007.png,2,123,197,10943.500
frame_000008.png,2,121,197,10947.000
frame_000009.png,2,118,197,10954.000
frame_000010.png,2,116,197,10953.500
frame_000011.png,2,115,197,10958.500
frame_000012.png,2,115,198,10939.500
frame_000013.png,2,115,198,10934.000
frame_000014.png,2,115,198,10928.000
frame_000015.png,2,115,198,10936.500
frame_000016.png,2,115,198,10937.500
frame_000017.png,2,116,198,10939.000
frame_000018.png,2,116,198,10937.000
frame_000019.png,2,116,198,10935.000
frame_000020.png,2,115,198,10935.500
frame_000021.png,2,115,198,10935.000
frame_000022.png,2,115,198,10935.000
frame_000023.png,2,115,198,10929.500
frame_000024.png,2,115,198,10930.500
frame_000025.png,2,115,198,10930.500
frame_000026.png,2,115,198,10932.000
frame_000027.png,2,116,198,10934.500
frame_000028.png,2,116,198,10945.000
frame_000029.png,2,117,198,10937.500
frame_000030.png,2,117,198,10929.000
frame_000031.png,2,117,198,10936.500
frame_000032.png,2,116,198,10937.000
frame_000033.png,2,116,198,10935.500
frame_000034.png,2,116,198,10938.000
frame_000035.png,2,116,198,10939.000
frame_000036.png,2,116,198,10942.000
frame_000037.png,2,116,198,10943.000
frame_000038.png,2,116,198,10948.000
frame_000039.png,2,117,198,10942.500
frame_000040.png,2,117,198,10941.000
frame_000041.png,2,118,198,10956.000
frame_000042.png,2,117,198,10954.000
frame_000043.png,2,116,198,10954.000
frame_000044.png,2,115,198,10954.000
frame_000045.png,2,115,198,10956.500
frame_000046.png,2,115,198,10958.500
frame_000047.png,2,114,198,10953.000
frame_000048.png,2,114,198,10958.500
frame_000049.png,2,114,198,10962.000
frame_000050.png,2,114,198,10962.500
frame_000051.png,2,114,198,10961.500
frame_000052.png,2,114,198,10970.500
frame_000053.png,2,114,198,10969.500
frame_000054.png,2,115,198,10967.500
frame_000055.png,2,115,198,10968.500
frame_000056.png,2,115,198,10968.500
frame_000057.png,2,114,198,10961.000
frame_000058.png,2,121,198,10943.500
frame_000059.png,2,119,198,10943.500
frame_000060.png,2,117,198,10955.000
frame_000061.png,2,116,198,10958.000
frame_000062.png,2,116,198,10968.000
frame_000063.png,2,115,198,10974.000
frame_000064.png,2,107,198,10997.000
frame_000065.png,2,116,198,10976.000
frame_000066.png,2,116,198,10975.000
frame_000067.png,2,116,198,10975.000
frame_000068.png,2,116,198,10980.000
frame_000069.png,2,115,198,10982.000
frame_000070.png,2,115,198,10982.500
frame_000071.png,2,107,198,11003.500
frame_000072.png,2,114,198,10985.500
frame_000073.png,2,107,198,11002.500
frame_000074.png,2,108,198,11010.500
frame_000075.png,2,108,198,11013.500
frame_000076.png,2,109,198,11011.500
frame_000077.png,2,110,198,11013.000
frame_000078.png,2,111,198,11002.500
frame_000079.png,2,112,198,11009.000
frame_000080.png,2,113,198,11019.000
frame_000081.png,2,114,198,11016.000
frame_000082.png,2,114,198,11011.000
frame_000083.png,2,113,198,11018.000
frame_000084.png,2,113,198,11013.000
frame_000085.png,2,111,197,11027.000
frame_000086.png,2,111,197,11029.500
frame_000087.png,2,111,197,11039.500
frame_000088.png,2,112,197,11040.500
frame_000089.png,2,113,197,11047.000
frame_000090.png,2,113,197,11062.000
frame_000091.png,2,114,197,11057.000
frame_000092.png,2,114,197,11056.000
frame_000093.png,2,115,197,11057.500
frame_000094.png,2,115,197,11064.000
frame_000095.png,2,115,197,11057.500
frame_000096.png,2,115,197,11060.500
frame_000097.png,2,114,197,11064.000
frame_000098.png,2,114,196,11072.500
frame_000099.png,2,114,195,11080.500
frame_000100.png,2,114,195,11090.500
frame_000101.png,2,114,195,11102.000
frame_000102.png,2,114,195,11112.500
frame_000103.png,2,115,195,11126.500
frame_000104.png,2,115,195,11131.000
frame_000105.png,2,115,195,11152.000
frame_000106.png,2,115,195,11162.000
frame_000107.png,2,115,195,11165.000
frame_000108.png,2,114,195,11166.500
frame_000109.png,2,113,195,11171.000
frame_000110.png,2,113,195,11182.500
frame_000111.png,2,112,195,11185.500
frame_000112.png,2,112,195,11186.000
frame_000113.png,2,113,195,11193.500
frame_000114.png,2,113,195,11188.000
frame_000115.png,2,114,195,11199.500
frame_000116.png,2,114,195,11208.500
frame_000117.png,2,115,195,11223.500
frame_000118.png,2,115,195,11235.500
frame_000119.png,2,115,195,11240.500
frame_000120.png,2,114,195,11239.000
frame_000121.png,2,113,195,11233.000
frame_000122.png,2,113,195,11236.000
frame_000123.png,2,113,195,11228.000
frame_000124.png,2,112,195,11238.000
frame_000125.png,2,112,195,11239.500
frame_000126.png,2,112,195,11232.000
frame_000127.png,2,112,195,11239.500
frame_000128.png,2,112,195,11245.000
frame_000129.png,2,112,195,11257.500
frame_000130.png,2,112,195,11280.000
frame_000131.png,2,113,195,11286.500
frame_000132.png,2,113,195,11284.500
frame_000133.png,2,111,195,11265.000
frame_000134.png,2,111,195,11261.500
frame_000135.png,2,110,195,11266.500
frame_000136.png,2,109,195,11254.000
frame_000137.png,2,107,195,11244.500
frame_000138.png,2,105,195,11240.500
frame_000139.png,2,105,195,11236.500
frame_000140.png,2,104,195,11248.000
frame_000141.png,2,104,195,11233.000
frame_000142.png,2,105,195,11240.500
frame_000143.png,2,105,195,11258.000
frame_000144.png,2,104,195,11247.000
frame_000145.png,1,102,195,11219.500
frame_000146.png,1,101,195,11197.000
frame_000147.png,1,101,195,11176.000
frame_000148.png,1,100,195,11168.500
frame_000149.png,1,102,195,11134.000
frame_000150.png,2,104,195,11127.500
frame_000151.png,2,104,195,11107.500
